archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3044,2961,10,0,19784,0,2
Regular,10,3894,3771,7,3,30201,0,1
Hardcore,10,6478,6430,2,8,60648,0,0
Hoarder,10,3623,3787,8,2,26673,2,1
"Early Locker",10,3706,3622,10,0,24085,0,0
"Late Deployer",10,3661,3655,3,7,33313,0,0
Boost-Focused,10,6251,6240,3,7,56377,1,1
Star-Focused,10,4730,4732,9,1,32457,1,0
"Aggressive Sigil User",10,5463,5414,4,6,47450,0,0
"Mostly Idle",10,2190,2001,10,0,14235,0,0
