archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2695,2528,19,1,35969,0,1
Regular,20,3744,3872,14,6,57601,0,2
Hardcore,20,5923,6164,5,15,110183,1,0
Hoarder,20,3483,3301,19,1,46729,0,0
"Early Locker",20,3581,3852,20,0,46549,0,0
"Late Deployer",20,3645,3442,8,12,62409,2,0
Boost-Focused,20,5814,5873,3,17,111349,1,2
Star-Focused,20,4321,4367,17,3,60897,0,1
"Aggressive Sigil User",20,5064,5155,4,16,95958,2,1
"Mostly Idle",20,2740,2534,20,0,35613,0,0
