archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1132,860,10,0,7360,0,0
Regular,10,1135,1013,10,0,7377,0,0
Hardcore,10,346,59,5,5,2628,0,0
Hoarder,10,3519,2059,10,0,22871,0,0
"Early Locker",10,1758,1263,10,0,11428,0,0
"Late Deployer",10,2488,1012,10,0,16168,0,0
Boost-Focused,10,276,284,6,4,2089,0,1
Star-Focused,10,2320,2075,9,1,15148,0,0
"Aggressive Sigil User",10,850,378,8,2,5668,0,0
"Mostly Idle",10,967,750,10,0,6284,0,0
