archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2011,2012,10,0,13068,0,0
Regular,10,1644,1266,10,0,10685,0,0
Hardcore,10,836,285,7,3,5649,0,0
Hoarder,10,2499,1910,10,0,16243,0,0
"Early Locker",10,876,1012,10,0,5696,0,0
"Late Deployer",10,1130,319,9,1,7411,0,0
Boost-Focused,10,317,43,5,5,2411,1,0
Star-Focused,10,2631,1419,10,0,17100,0,0
"Aggressive Sigil User",10,965,1024,9,1,6340,0,0
"Mostly Idle",10,817,753,10,0,5311,0,0
