archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1306,1106,10,0,8484,0,0
Regular,10,989,859,10,0,6427,0,0
Hardcore,10,409,48,5,5,3019,0,0
Hoarder,10,2001,2009,10,0,13007,0,0
"Early Locker",10,1310,558,10,0,8515,0,0
"Late Deployer",10,1737,1026,10,0,11291,0,1
Boost-Focused,10,536,42,4,6,3908,0,1
Star-Focused,10,2975,3019,10,0,19337,0,0
"Aggressive Sigil User",10,1216,1120,9,1,7971,0,0
"Mostly Idle",10,1147,605,10,0,7457,0,0
