archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2469,1055,10,0,16047,0,0
Regular,10,1694,1158,10,0,11009,0,0
Hardcore,10,655,286,8,2,4400,0,1
Hoarder,10,2385,2260,10,0,15499,0,0
"Early Locker",10,1401,1059,10,0,9108,0,0
"Late Deployer",10,1247,811,10,0,8102,0,0
Boost-Focused,10,485,41,5,5,3501,0,1
Star-Focused,10,1959,1572,10,0,12734,0,0
"Aggressive Sigil User",10,1034,1022,9,1,6790,0,0
"Mostly Idle",10,786,701,10,0,5109,0,0
