archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1295,1004,10,0,8416,0,0
Regular,10,1859,1017,10,0,12080,0,0
Hardcore,10,491,283,7,3,3408,0,0
Hoarder,10,2518,2311,10,0,16363,0,0
"Early Locker",10,969,409,10,0,6294,0,0
"Late Deployer",10,1650,263,7,3,10920,0,1
Boost-Focused,10,1449,291,8,2,9559,0,1
Star-Focused,10,2353,2262,10,0,15294,0,0
"Aggressive Sigil User",10,1550,1221,10,0,10075,0,0
"Mostly Idle",10,742,504,10,0,4821,0,0
