archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1081,1004,10,0,7023,0,0
Regular,10,1161,1013,10,0,7546,0,1
Hardcore,10,1135,287,9,1,7446,0,2
Hoarder,10,2697,2110,10,0,17528,0,0
"Early Locker",10,1357,1215,10,0,8820,0,0
"Late Deployer",10,1340,1310,8,2,8840,0,0
Boost-Focused,10,538,140,7,3,3714,0,1
Star-Focused,10,2483,2023,10,0,16137,0,0
"Aggressive Sigil User",10,1885,1273,9,1,12319,0,0
"Mostly Idle",10,1563,1003,10,0,10156,0,0
