archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1226,511,10,0,7969,0,0
Regular,10,2167,2018,10,0,14087,0,0
Hardcore,10,356,58,5,5,2691,0,0
Hoarder,10,1659,1808,10,0,10784,0,0
"Early Locker",10,1123,1111,10,0,7301,0,0
"Late Deployer",10,1194,1013,9,1,7825,0,0
Boost-Focused,10,451,49,6,4,3218,0,2
Star-Focused,10,2832,2123,10,0,18405,0,0
"Aggressive Sigil User",10,1993,1072,9,1,13022,0,0
"Mostly Idle",10,836,401,10,0,5434,0,0
