archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,887,560,10,0,5764,0,0
Regular,10,1217,1020,10,0,7906,0,0
Hardcore,10,721,333,8,2,4837,0,0
Hoarder,10,2250,2019,10,0,14627,0,0
"Early Locker",10,624,281,10,0,4053,1,0
"Late Deployer",10,1052,761,8,2,6973,0,0
Boost-Focused,10,380,231,9,1,2544,0,1
Star-Focused,10,2088,2024,10,0,13569,0,0
"Aggressive Sigil User",10,881,282,8,2,5870,0,0
"Mostly Idle",10,981,650,10,0,6374,0,0
