archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2096,1005,5,0,6812,0,0
Regular,5,972,1071,5,0,3159,0,0
Hardcore,5,2223,442,4,1,7303,0,0
Hoarder,5,1608,1313,4,1,5296,0,0
"Early Locker",5,1374,1019,5,0,4464,0,0
"Late Deployer",5,1979,2766,5,0,6429,0,0
Boost-Focused,5,448,52,2,3,1679,0,1
Star-Focused,5,2335,2026,5,0,7589,0,0
"Aggressive Sigil User",5,984,1018,5,0,3197,0,0
"Mostly Idle",5,1943,1757,5,0,6316,0,0
