archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1035,509,10,0,6723,0,0
Regular,10,1342,1275,9,1,8785,0,0
Hardcore,10,763,46,5,5,5322,0,0
Hoarder,10,2917,2107,10,0,18961,0,0
"Early Locker",10,1056,1027,10,0,6862,0,0
"Late Deployer",10,1747,1761,9,1,11419,0,1
Boost-Focused,10,950,1025,8,2,6317,0,0
Star-Focused,10,2168,2269,10,0,14091,0,0
"Aggressive Sigil User",10,2353,1071,10,0,15292,0,0
"Mostly Idle",10,792,752,10,0,5144,0,0
