archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1813,1014,10,0,11782,0,0
Regular,10,1278,1014,10,0,8306,0,0
Hardcore,10,214,130,8,2,1537,0,0
Hoarder,10,2226,2015,10,0,14466,1,0
"Early Locker",10,1584,1259,10,0,10298,0,0
"Late Deployer",10,1199,759,8,2,7920,0,0
Boost-Focused,10,1315,335,6,4,8826,0,1
Star-Focused,10,2905,2321,10,0,18881,0,0
"Aggressive Sigil User",10,1256,1063,10,0,8164,0,0
"Mostly Idle",10,1227,1001,10,0,7970,0,0
