archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,1276,1003,20,0,16579,0,0
Regular,20,795,356,19,1,10399,0,0
Hardcore,20,928,272,13,7,12545,0,0
Hoarder,20,2711,2259,20,0,35240,0,0
"Early Locker",20,992,958,20,0,12888,0,0
"Late Deployer",20,1056,859,20,0,13727,0,1
Boost-Focused,20,675,32,10,10,9440,0,5
Star-Focused,20,3177,2866,20,0,41301,0,0
"Aggressive Sigil User",20,1388,1017,17,3,18241,0,1
"Mostly Idle",20,824,602,19,1,10733,0,0
