archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1030,1002,10,0,6692,0,0
Regular,10,1206,560,10,0,7837,0,0
Hardcore,10,557,431,8,2,3768,0,0
Hoarder,10,2309,2204,10,0,15008,0,0
"Early Locker",10,835,759,10,0,5427,0,0
"Late Deployer",10,2093,2260,9,1,13666,0,0
Boost-Focused,10,141,43,6,4,1199,0,1
Star-Focused,10,2346,2522,10,0,15247,0,0
"Aggressive Sigil User",10,821,275,9,1,5404,0,1
"Mostly Idle",10,1026,1002,10,0,6668,0,0
