archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2358,1508,5,0,7664,0,0
Regular,5,2312,1621,5,0,7512,0,0
Hardcore,5,427,304,4,1,1461,1,0
Hoarder,5,3564,2814,5,0,11582,0,0
"Early Locker",5,782,1060,5,0,2542,0,0
"Late Deployer",5,1527,2014,4,1,5027,0,0
Boost-Focused,5,1201,1083,5,0,3903,1,1
Star-Focused,5,1854,1024,5,0,6025,1,0
"Aggressive Sigil User",5,934,180,4,1,3108,0,0
"Mostly Idle",5,1212,1507,5,0,3939,0,0
