archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1104,1055,10,0,7175,0,0
Regular,10,1078,1062,10,0,7007,0,0
Hardcore,10,200,182,6,4,1589,0,0
Hoarder,10,2085,2069,10,0,13547,0,0
"Early Locker",10,1361,1159,10,0,8845,0,0
"Late Deployer",10,1080,763,8,2,7145,0,0
Boost-Focused,10,420,124,7,3,2940,0,2
Star-Focused,10,2335,2170,10,0,15175,1,0
"Aggressive Sigil User",10,983,813,9,1,6460,1,0
"Mostly Idle",10,1101,852,10,0,7156,0,0
