archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,1192,1106,20,0,15490,0,0
Regular,20,1292,1012,20,0,16796,0,0
Hardcore,20,977,282,13,7,13179,0,1
Hoarder,20,2364,2012,20,0,30722,0,0
"Early Locker",20,1159,1014,20,0,15068,0,0
"Late Deployer",20,1082,1009,17,3,14250,0,0
Boost-Focused,20,663,270,11,9,9217,0,0
Star-Focused,20,2700,2016,20,0,35097,0,1
"Aggressive Sigil User",20,1397,370,16,4,18430,0,0
"Mostly Idle",20,916,751,20,0,11905,0,0
