archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,1555,1006,20,0,20204,0,0
Regular,20,1137,1010,20,0,14781,0,2
Hardcore,20,646,283,17,3,8597,0,1
Hoarder,20,2285,2257,20,0,29707,0,0
"Early Locker",20,1800,1111,20,0,23392,0,0
"Late Deployer",20,1442,508,16,4,18994,0,0
Boost-Focused,20,553,280,13,7,7666,0,1
Star-Focused,20,2485,2265,20,0,32305,0,0
"Aggressive Sigil User",20,1390,1217,18,2,18203,0,0
"Mostly Idle",20,836,750,20,0,10862,0,0
