archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,1016,753,20,0,13207,0,0
Regular,20,1188,1065,18,2,15576,0,0
Hardcore,20,447,121,11,9,6423,0,0
Hoarder,20,2216,2113,20,0,28805,1,0
"Early Locker",20,1209,1062,20,0,15710,0,0
"Late Deployer",20,1182,1057,16,4,15615,0,0
Boost-Focused,20,1083,32,10,10,14753,0,0
Star-Focused,20,2530,2067,20,0,32881,0,0
"Aggressive Sigil User",20,917,1020,15,5,12251,0,0
"Mostly Idle",20,716,451,20,0,9304,0,0
