archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,1205,1003,5,0,3915,0,0
Regular,5,552,281,5,0,1794,0,0
Hardcore,5,180,152,3,2,739,0,0
Hoarder,5,1542,1269,5,0,5012,0,0
"Early Locker",5,1984,2016,5,0,6447,0,0
"Late Deployer",5,1817,1765,5,0,5904,0,1
Boost-Focused,5,947,282,4,1,3150,0,0
Star-Focused,5,2056,1876,5,0,6678,0,0
"Aggressive Sigil User",5,1306,1126,3,2,4388,0,0
"Mostly Idle",5,552,453,5,0,1793,0,0
