archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1416,1003,10,0,9206,0,0
Regular,10,1661,1369,9,1,10864,0,0
Hardcore,10,1626,193,7,3,10795,1,0
Hoarder,10,3593,2411,10,0,23350,0,0
"Early Locker",10,1204,1030,10,0,7825,0,0
"Late Deployer",10,1391,1014,9,1,9106,0,0
Boost-Focused,10,182,129,7,3,1405,1,2
Star-Focused,10,1628,1775,10,0,10580,0,0
"Aggressive Sigil User",10,860,281,8,2,5733,0,0
"Mostly Idle",10,1292,1255,10,0,8398,0,0
