archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1286,1008,10,0,8359,0,0
Regular,10,2318,1018,10,0,15069,0,0
Hardcore,10,695,331,8,2,4664,0,0
Hoarder,10,1959,2010,10,0,12730,0,0
"Early Locker",10,1522,909,10,0,9890,0,0
"Late Deployer",10,814,312,9,1,5353,0,0
Boost-Focused,10,316,42,5,5,2411,1,1
Star-Focused,10,1883,2021,10,0,12239,0,0
"Aggressive Sigil User",10,2403,1072,10,0,15619,0,1
"Mostly Idle",10,677,502,10,0,4397,0,0
