archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1066,1005,10,0,6928,0,0
Regular,10,2167,2059,9,1,14154,0,0
Hardcore,10,536,195,8,2,3630,0,1
Hoarder,10,2396,2358,10,0,15569,0,0
"Early Locker",10,1377,1009,10,0,8952,0,0
"Late Deployer",10,1275,761,8,2,8419,0,0
Boost-Focused,10,260,125,6,4,1975,0,0
Star-Focused,10,2686,2423,10,0,17458,0,0
"Aggressive Sigil User",10,551,423,8,2,3722,0,0
"Mostly Idle",10,1137,552,10,0,7388,0,0
