archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1586,1007,10,0,10308,0,0
Regular,10,1827,1360,10,0,11872,0,0
Hardcore,10,370,177,7,3,2622,0,0
Hoarder,10,2710,2151,10,0,17610,0,0
"Early Locker",10,1135,1063,10,0,7373,0,0
"Late Deployer",10,1372,813,9,1,8983,0,0
Boost-Focused,10,368,127,6,4,2676,0,0
Star-Focused,10,2759,2019,10,0,17931,0,0
"Aggressive Sigil User",10,993,1074,8,2,6592,0,0
"Mostly Idle",10,751,453,10,0,4882,0,0
