archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1300,1053,10,0,8450,0,0
Regular,10,1773,1358,10,0,11523,0,0
Hardcore,10,229,282,7,3,1702,0,1
Hoarder,10,3162,2019,10,0,20550,0,0
"Early Locker",10,1256,1013,10,0,8164,0,0
"Late Deployer",10,1380,1060,10,0,8968,0,0
Boost-Focused,10,1151,276,7,3,7695,0,0
Star-Focused,10,2064,1771,10,0,13416,0,0
"Aggressive Sigil User",10,483,222,8,2,3277,0,0
"Mostly Idle",10,1256,751,10,0,8166,0,0
