archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1672,1009,10,0,10863,0,0
Regular,10,1294,1019,10,0,8409,0,0
Hardcore,10,281,285,9,1,1900,0,2
Hoarder,10,2399,2160,10,0,15590,0,0
"Early Locker",10,1181,1021,10,0,7678,0,0
"Late Deployer",10,1268,761,9,1,8304,0,0
Boost-Focused,10,212,41,5,5,1733,0,1
Star-Focused,10,2606,2073,10,0,16939,0,0
"Aggressive Sigil User",10,1150,520,9,1,7542,0,0
"Mostly Idle",10,1671,1302,10,0,10862,0,0
