archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1254,813,9,1,8215,0,0
Regular,10,1135,1015,10,0,7373,0,0
Hardcore,10,1317,289,7,3,8788,0,0
Hoarder,10,2723,2262,10,0,17696,0,1
"Early Locker",10,1188,1016,10,0,7723,0,0
"Late Deployer",10,1683,1113,10,0,10938,0,0
Boost-Focused,10,492,281,6,4,3494,0,0
Star-Focused,10,1678,1076,10,0,10907,0,0
"Aggressive Sigil User",10,1630,1078,9,1,10665,0,0
"Mostly Idle",10,822,604,10,0,5344,0,0
