archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1116,1006,10,0,7251,0,0
Regular,10,1326,1118,9,1,8687,0,0
Hardcore,10,432,53,4,6,3257,0,1
Hoarder,10,2232,2261,10,0,14510,0,0
"Early Locker",10,1408,1013,10,0,9153,0,0
"Late Deployer",10,1574,1012,8,2,10361,0,0
Boost-Focused,10,259,46,5,5,2042,0,1
Star-Focused,10,2201,2013,10,0,14307,0,0
"Aggressive Sigil User",10,1022,1072,9,1,6710,0,0
"Mostly Idle",10,1107,1252,10,0,7192,0,0
