archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2344,2140,9,1,16124,0,0
Regular,10,3360,3343,9,1,23220,0,2
Hardcore,10,5715,5588,2,8,53164,0,0
Hoarder,10,3917,4048,8,2,28475,0,1
"Early Locker",10,3037,2593,10,0,19736,0,0
"Late Deployer",10,3386,3205,4,6,28909,0,0
Boost-Focused,10,5133,5176,2,8,48213,0,0
Star-Focused,10,4001,4141,9,1,27556,0,1
"Aggressive Sigil User",10,4720,4596,6,4,37270,0,2
"Mostly Idle",10,2145,1964,10,0,13943,0,0
