archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2251,2289,8,2,16389,0,0
Regular,10,3677,3745,7,3,28071,0,1
Hardcore,10,5451,5427,1,9,53030,1,0
Hoarder,10,3372,3488,9,1,23330,0,0
"Early Locker",10,3172,3389,10,0,20617,0,0
"Late Deployer",10,3198,3189,5,5,26724,0,0
Boost-Focused,10,4937,4870,4,6,42785,0,3
Star-Focused,10,4295,4044,10,0,27912,0,2
"Aggressive Sigil User",10,4502,4558,5,5,37763,0,1
"Mostly Idle",10,1814,1827,10,0,11790,0,0
