archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2812,2792,5,0,9137,0,0
Regular,5,4434,4438,3,2,17682,0,1
Hardcore,5,6516,6367,2,3,28084,0,0
Hoarder,5,3669,3391,4,1,13668,0,0
"Early Locker",5,3732,3531,5,0,12130,0,0
"Late Deployer",5,3661,3674,0,5,18586,0,0
Boost-Focused,5,5880,5874,1,4,27569,0,1
Star-Focused,5,4862,4620,5,0,15801,0,0
"Aggressive Sigil User",5,5307,5313,1,4,24929,0,1
"Mostly Idle",5,1811,1634,5,0,5887,0,0
