archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2212,2169,17,3,31201,0,1
Regular,20,3077,2837,17,3,43870,0,2
Hardcore,20,4958,5061,2,18,97435,1,0
Hoarder,20,3570,3670,19,1,47796,0,0
"Early Locker",20,2886,2826,20,0,37508,0,0
"Late Deployer",20,3067,2989,11,9,49683,1,0
Boost-Focused,20,4965,4713,6,14,88448,0,2
Star-Focused,20,3745,3560,17,3,52601,0,1
"Aggressive Sigil User",20,4294,4247,10,10,71474,1,3
"Mostly Idle",20,1954,1794,20,0,25394,0,0
