archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2344,2238,5,0,7615,0,1
Regular,5,3690,3737,5,0,11993,0,4
Hardcore,5,5571,5588,0,5,28338,0,0
Hoarder,5,3719,4200,4,1,13656,0,2
"Early Locker",5,3474,3432,5,0,11287,0,0
"Late Deployer",5,3212,3125,1,4,15016,0,0
Boost-Focused,5,5149,5155,2,3,22296,0,2
Star-Focused,5,4389,4521,3,2,17151,0,0
"Aggressive Sigil User",5,4956,4885,2,3,21334,0,0
"Mostly Idle",5,1689,1402,5,0,5490,0,0
