archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2032,1916,20,0,26420,0,4
Regular,20,3360,3371,15,5,50035,2,4
Hardcore,20,4995,5088,5,15,92540,0,0
Hoarder,20,3497,3499,19,1,46759,0,3
"Early Locker",20,2765,2368,20,0,35934,0,1
"Late Deployer",20,2996,2901,11,9,48700,1,1
Boost-Focused,20,4715,4687,6,14,85070,0,1
Star-Focused,20,3596,3641,17,3,50713,0,2
"Aggressive Sigil User",20,4464,4267,12,8,70368,0,1
"Mostly Idle",20,2130,2391,20,0,27697,0,0
