archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2491,2452,19,1,33289,0,1
Regular,20,3277,3397,18,2,45246,0,4
Hardcore,20,5406,5434,3,17,103520,0,0
Hoarder,20,3264,3502,17,3,46697,0,1
"Early Locker",20,2984,2978,20,0,38791,0,0
"Late Deployer",20,3119,3144,6,14,56673,0,0
Boost-Focused,20,4981,4944,5,15,91398,0,0
Star-Focused,20,4401,4559,19,1,58588,0,3
"Aggressive Sigil User",20,4529,4521,8,12,78627,0,1
"Mostly Idle",20,2062,1908,20,0,26796,0,0
