archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2421,2460,18,2,33179,0,0
Regular,20,3264,3358,16,4,47704,0,2
Hardcore,20,5427,5386,3,17,103327,0,0
Hoarder,20,3220,3181,19,1,43289,0,2
"Early Locker",20,3219,3168,20,0,41843,0,2
"Late Deployer",20,3119,3070,6,14,56355,1,0
Boost-Focused,20,4955,4872,4,16,92580,1,1
Star-Focused,20,3785,3808,19,1,50538,0,0
"Aggressive Sigil User",20,4429,4480,7,13,78820,1,1
"Mostly Idle",20,2097,2060,20,0,27262,0,0
