archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2794,2459,10,0,18161,0,2
Regular,10,3647,3729,6,4,29164,0,1
Hardcore,10,5522,5494,0,10,55822,1,0
Hoarder,10,3408,3354,8,2,25138,0,0
"Early Locker",10,3376,3217,10,0,21946,0,1
"Late Deployer",10,3000,3089,2,8,28655,0,0
Boost-Focused,10,5187,5017,4,6,44618,0,0
Star-Focused,10,4158,4073,10,0,27026,0,0
"Aggressive Sigil User",10,4570,4502,7,3,34750,0,0
"Mostly Idle",10,2234,2082,10,0,14517,0,0
