archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2305,2120,10,0,14981,0,2
Regular,10,3336,3442,10,0,21683,0,4
Hardcore,10,5230,5229,0,10,52967,1,0
Hoarder,10,3361,3235,7,3,26188,1,1
"Early Locker",10,3544,3108,10,0,23036,0,0
"Late Deployer",10,3217,2981,5,5,26286,0,0
Boost-Focused,10,4849,4905,2,8,45439,0,2
Star-Focused,10,4622,4541,10,0,30039,1,1
"Aggressive Sigil User",10,4380,4427,5,5,36673,0,0
"Mostly Idle",10,1753,1592,10,0,11390,0,0
