archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3421,2898,5,0,11118,0,0
Regular,5,3812,4014,4,1,13805,0,2
Hardcore,5,5740,5642,1,4,26820,0,0
Hoarder,5,4064,4233,1,4,19461,0,0
"Early Locker",5,3918,3977,5,0,12732,0,0
"Late Deployer",5,4082,4089,3,2,15651,1,1
Boost-Focused,5,5558,5500,4,1,19989,0,0
Star-Focused,5,3640,3689,5,0,11828,0,1
"Aggressive Sigil User",5,4760,4919,4,1,17190,0,0
"Mostly Idle",5,1976,1850,5,0,6420,0,0
