archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2767,2705,10,0,17985,0,0
Regular,10,3580,3505,7,3,27368,0,1
Hardcore,10,5704,5427,2,8,52742,0,0
Hoarder,10,3713,3778,9,1,25582,0,2
"Early Locker",10,3524,3568,10,0,22904,0,1
"Late Deployer",10,3038,3104,4,6,26723,0,0
Boost-Focused,10,5133,4980,4,6,44224,0,0
Star-Focused,10,4354,4046,8,2,31242,1,0
"Aggressive Sigil User",10,4734,4667,4,6,41005,0,1
"Mostly Idle",10,1867,1606,10,0,12136,0,0
