archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1495,1258,10,0,9717,0,0
Regular,10,1092,1059,9,1,7163,0,1
Hardcore,10,712,280,7,3,4836,0,0
Hoarder,10,3382,2051,10,0,21982,0,0
"Early Locker",10,965,508,10,0,6267,0,0
"Late Deployer",10,1210,1058,10,0,7865,0,0
Boost-Focused,10,265,121,7,3,1930,0,1
Star-Focused,10,2792,2519,10,0,18148,0,0
"Aggressive Sigil User",10,3361,2321,10,0,21841,0,0
"Mostly Idle",10,1172,503,10,0,7612,0,0
